workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
519.lbm,500,0,1.945903872348706e-05,4.211582597291631,1.655645526434942
519.lbm,1000,2,0.0,0.3583806692109701,0.0003929052537045352
520.omnetpp,250,2,0.0,6.985495788609481,0.7119184193753983
520.omnetpp,500,1,0.0,0.8167639911501215,0.0
520.omnetpp,500,2,0.0,2.5649581193340456,0.0004839189994044074
520.omnetpp,500,4,0.0,3.443970440040309,0.6428519567269295
520.omnetpp,500,8,0.0,3.875857043489782,1.1161267227492393
520.omnetpp,500,0,0.0,4.313937134072548,1.590014808546647
520.omnetpp,1000,2,0.0,0.4118468435364151,0.0003723978698841843
523.xalancbmk,250,2,0.0,2.3684856753069576,0.011834319526627219
523.xalancbmk,500,1,0.0,0.024098124098124098,0.0
523.xalancbmk,500,2,0.0,0.2654409652398736,0.0
523.xalancbmk,500,4,0.0,1.0364326909551274,0.013736263736263736
523.xalancbmk,500,8,0.0,1.4847216408539137,0.25254992098836376
523.xalancbmk,500,0,0.0,1.9597120310120448,0.7192634560906516
523.xalancbmk,1000,2,0.0,0.006650281914124621,0.0
525.x264,250,2,0.0,0.2916289592760181,0.0
525.x264,500,1,0.0,0.0,0.0
525.x264,500,2,0.0,0.0,0.0
525.x264,500,4,0.0,0.06772727272727273,0.0
525.x264,500,8,0.0,0.415781144019896,0.004547521600727604
525.x264,500,0,0.0,0.9052655265526552,0.3382352941176471
525.x264,1000,2,0.0,0.0,0.0
526.blender,250,2,0.0,0.07776980138789184,0.0
526.blender,500,1,0.0,0.0009576250897773521,0.0
526.blender,500,2,0.0,0.007655502392344498,0.0
526.blender,500,4,0.0,0.025137658606655493,0.0
526.blender,500,8,0.0,0.0748266794166866,0.0019147917663954045
526.blender,500,0,0.0,0.4757027155788471,0.16264628612371626
526.blender,1000,2,0.0,0.0,0.0
531.deepsjeng,250,2,0.0,0.091683038637852,0.0
531.deepsjeng,500,1,0.0,0.0,0.0
531.deepsjeng,500,2,0.0,0.0,0.0
531.deepsjeng,500,4,0.0,0.0043677658877484165,0.0
531.deepsjeng,500,8,0.0,0.2931184668989547,0.0
531.deepsjeng,500,0,0.0,0.7892454466608847,0.25925925925925924
531.deepsjeng,1000,2,0.0,0.0,0.0
538.imagick,250,2,0.0,0.0,0.0
538.imagick,500,1,0.0,0.0,0.0
538.imagick,500,2,0.0,0.0,0.0
538.imagick,500,4,0.0,0.0,0.0
538.imagick,500,8,0.0,0.0,0.0
538.imagick,500,0,0.0,0.0452867339404381,0.012306177701206006
538.imagick,1000,2,0.0,0.0,0.0
541.leela,250,2,0.0,0.018341892883345562,0.0
541.leela,500,1,0.0,0.0007340347443112308,0.0
541.leela,500,2,0.0,0.003913894324853229,0.0
541.leela,500,4,0.0,0.0066046966731898235,0.0
541.leela,500,8,0.0,0.009784735812133072,0.0
541.leela,500,0,0.0,0.05086818292981169,0.014680694886224614
541.leela,1000,2,0.0,0.0,0.0
544.nab,250,2,0.0,0.03205398566005905,0.0
