W,R,L,QTH,ABO_ACT,single_row_security_margin,TRH_D_margin,SHQ_entries,sampling_fraction,A_star,K_floor_star,X_win_star,N_per_row_star,p_m_analytical,TRH_D_base_analytical,TRH_D_analytical,p_m_simulated,TRH_D_base_simulated,TRH_D_margin_simulated,TRH_D_simulated,mc_target_appearances,mc_windows,mc_seeds
72,8,8,4,12,16,16,56,0.1111111111111111,324,1,4.5,1820,0.023611111068159996,787,803,0.023515742351574234,790,16,806,5555555,5000000,5
72,8,9,4,12,16,16,63,0.1111111111111111,360,1,5.0,1638,0.023611111068159996,773,789,0.02364,773,16,789,5000000,5000000,5
72,8,10,4,12,16,16,70,0.1111111111111111,395,1,5.486111111111111,1493,0.023832070535780445,745,761,0.023757505003335556,746,16,762,4556960,5000000,5
72,8,11,4,12,16,16,77,0.1111111111111111,423,1,5.875,1394,0.025599746276743687,695,711,0.025873024825395035,691,16,707,4255320,5000000,5
72,8,12,4,12,16,16,84,0.1111111111111111,452,1,6.277777777777778,1304,0.02714646255008656,652,668,0.027460512769002837,649,16,665,3982300,5000000,5
72,8,13,4,12,16,16,91,0.1111111111111111,480,1,6.666666666666667,1228,0.02891413829104984,614,630,0.029163733333333334,612,16,628,3750000,5000000,5
72,8,14,4,12,16,16,98,0.1111111111111111,360,2,5.0,1638,0.03156565190249476,600,616,0.0316102,599,16,615,5000000,5000000,5
72,8,15,4,12,16,16,105,0.1111111111111111,384,2,5.333333333333333,1536,0.03156565190249476,598,614,0.031508266666666666,599,16,615,4687500,5000000,5
72,8,16,4,12,16,16,112,0.1111111111111111,408,2,5.666666666666667,1445,0.03156565190249476,595,611,0.03175871788275214,591,16,607,4411765,5000000,5
72,8,17,4,12,16,16,119,0.1111111111111111,432,2,6.0,1365,0.03156565190249476,591,607,0.0315561347550922,591,16,607,4166670,5000000,5
72,8,18,4,12,16,16,126,0.1111111111111111,456,2,6.333333333333333,1293,0.03156565190249476,586,602,0.03161016068926906,586,16,602,3947370,5000000,5
72,8,19,4,12,16,16,133,0.1111111111111111,480,2,6.666666666666667,1228,0.03156565190249476,580,596,0.031413333333333335,583,16,599,3750000,5000000,5
72,8,20,4,12,16,16,140,0.1111111111111111,504,2,7.0,1170,0.03156565190249476,572,588,0.03170102731958907,571,16,587,3571430,5000000,5
72,8,21,4,12,16,16,147,0.1111111111111111,527,2,7.319444444444445,1119,0.031841849316092526,559,575,0.03171573621895092,559,16,575,3415560,5000000,5
72,8,22,4,12,16,16,154,0.1111111111111111,547,2,7.597222222222222,1078,0.032946638970483694,539,555,0.033066468125840444,539,16,555,3290675,5000000,5
72,8,23,4,12,16,16,161,0.1111111111111111,566,2,7.861111111111111,1042,0.034327626038472676,520,536,0.03466657862216646,517,16,533,3180210,5000000,5
72,8,24,4,12,16,16,168,0.1111111111111111,586,2,8.13888888888889,1006,0.035432415692863845,503,519,0.03563202487242303,502,16,518,3071675,5000000,5
72,8,25,4,12,16,16,175,0.1111111111111111,468,3,6.5,1260,0.03819438982884178,494,510,0.03802789802789803,496,16,512,3846150,5000000,5
72,9,5,4,12,16,16,40,0.125,380,0,5.277777777777778,1552,0.02280521261205427,776,792,0.023149796964012967,770,16,786,4736845,5000000,5
72,9,6,4,12,16,16,48,0.125,252,1,3.5,2340,0.026234567890194804,727,743,0.026277167883150366,726,16,742,7142855,5000000,5
72,9,7,4,12,16,16,56,0.125,288,1,4.0,2048,0.026234567890194804,722,738,0.02622448,723,16,739,6250000,5000000,5
72,9,8,4,12,16,16,64,0.125,324,1,4.5,1820,0.026234567890194804,717,733,0.026204402620440263,718,16,734,5555555,5000000,5
72,9,9,4,12,16,16,72,0.125,360,1,5.0,1638,0.026234567890194804,709,725,0.0262586,709,16,725,5000000,5000000,5
72,9,10,4,12,16,16,80,0.125,396,1,5.5,1489,0.026234567890194804,698,714,0.02628298628298628,697,16,713,4545450,5000000,5
72,9,11,4,12,16,16,88,0.125,432,1,6.0,1365,0.026234567890194804,680,696,0.02617101906318475,680,16,696,4166670,5000000,5
72,9,12,4,12,16,16,96,0.125,462,1,6.416666666666667,1276,0.02788065809853821,638,654,0.028076502044991087,635,16,651,3896105,5000000,5
72,9,13,4,12,16,16,104,0.125,491,1,6.819444444444445,1201,0.029801096674938854,599,615,0.030160243427073487,595,16,611,3665985,5000000,5
72,9,14,4,12,16,16,112,0.125,521,1,7.236111111111111,1132,0.03144718688328227,566,582,0.03196855476070908,561,16,577,3454895,5000000,5
72,9,15,4,12,16,16,120,0.125,550,1,7.638888888888889,1072,0.03336762545968293,535,551,0.03372266230740438,532,16,548,3272725,5000000,5
72,9,16,4,12,16,16,128,0.125,408,2,5.666666666666667,1445,0.036111109140255275,525,541,0.03612590425827305,525,16,541,4411765,5000000,5
72,9,17,4,12,16,16,136,0.125,432,2,6.0,1365,0.036111109140255275,524,540,0.03601845118523905,525,16,541,4166670,5000000,5
72,9,18,4,12,16,16,144,0.125,456,2,6.333333333333333,1293,0.036111109140255275,521,537,0.036075158903269774,522,16,538,3947370,5000000,5
72,9,19,4,12,16,16,152,0.125,480,2,6.666666666666667,1228,0.036111109140255275,519,535,0.036336266666666665,516,16,532,3750000,5000000,5
72,9,20,4,12,16,16,160,0.125,504,2,7.0,1170,0.036111109140255275,516,532,0.035970185611925755,517,16,533,3571430,5000000,5
72,9,21,4,12,16,16,168,0.125,528,2,7.333333333333333,1117,0.036111109140255275,512,528,0.03618736964996524,511,16,527,3409090,5000000,5
72,9,22,4,12,16,16,176,0.125,552,2,7.666666666666667,1068,0.036111109140255275,507,523,0.03602627519649664,508,16,524,3260870,5000000,5
72,9,23,4,12,16,16,184,0.125,576,2,8.0,1024,0.036111109140255275,501,517,0.03592768,503,16,519,3125000,5000000,5
72,9,24,4,12,16,16,192,0.125,600,2,8.333333333333334,983,0.036111109140255275,491,507,0.03612733333333333,491,16,507,3000000,5000000,5
72,9,25,4,12,16,16,200,0.125,620,2,8.61111111111111,951,0.03745790594697938,475,491,0.037587165996434996,475,16,491,2903225,5000000,5
